"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","03.01.2017 03:45 - 03.01.2017 04:00 (CET/CEST)","0","181","259"
"BZN|NL","03.01.2017 04:00 - 03.01.2017 04:15 (CET/CEST)","0","183","266"
"BZN|NL","03.01.2017 04:15 - 03.01.2017 04:30 (CET/CEST)","0","179","282"
"BZN|NL","03.01.2017 04:30 - 03.01.2017 04:45 (CET/CEST)","0","150","303"
"BZN|NL","03.01.2017 04:45 - 03.01.2017 05:00 (CET/CEST)","0","151","305"
"BZN|NL","03.01.2017 05:00 - 03.01.2017 05:15 (CET/CEST)","0","193","260"
"BZN|NL","03.01.2017 05:15 - 03.01.2017 05:30 (CET/CEST)","0","182","278"
"BZN|NL","03.01.2017 05:30 - 03.01.2017 05:45 (CET/CEST)","0","193","293"
"BZN|NL","03.01.2017 05:45 - 03.01.2017 06:00 (CET/CEST)","0","196","302"
"BZN|NL","03.01.2017 06:00 - 03.01.2017 06:15 (CET/CEST)","0","199","324"
"BZN|NL","03.01.2017 06:15 - 03.01.2017 06:30 (CET/CEST)","0","203","333"
"BZN|NL","03.01.2017 06:30 - 03.01.2017 06:45 (CET/CEST)","0","205","352"
"BZN|NL","03.01.2017 06:45 - 03.01.2017 07:00 (CET/CEST)","0","207","388"
"BZN|NL","03.01.2017 07:00 - 03.01.2017 07:15 (CET/CEST)","0","207","415"
"BZN|NL","03.01.2017 07:15 - 03.01.2017 07:30 (CET/CEST)","0","201","450"
"BZN|NL","03.01.2017 07:30 - 03.01.2017 07:45 (CET/CEST)","0","201","470"
"BZN|NL","03.01.2017 07:45 - 03.01.2017 08:00 (CET/CEST)","0","208","462"
"BZN|NL","03.01.2017 08:00 - 03.01.2017 08:15 (CET/CEST)","0","212","441"
"BZN|NL","03.01.2017 08:15 - 03.01.2017 08:30 (CET/CEST)","0","210","455"
"BZN|NL","03.01.2017 08:30 - 03.01.2017 08:45 (CET/CEST)","0","206","469"
"BZN|NL","03.01.2017 08:45 - 03.01.2017 09:00 (CET/CEST)","0","207","453"
"BZN|NL","03.01.2017 09:00 - 03.01.2017 09:15 (CET/CEST)","0","198","463"
"BZN|NL","03.01.2017 09:15 - 03.01.2017 09:30 (CET/CEST)","0","198","467"
"BZN|NL","03.01.2017 09:30 - 03.01.2017 09:45 (CET/CEST)","0","195","449"
"BZN|NL","03.01.2017 09:45 - 03.01.2017 10:00 (CET/CEST)","0","203","448"
"BZN|NL","03.01.2017 10:00 - 03.01.2017 10:15 (CET/CEST)","0","213","444"
"BZN|NL","03.01.2017 10:15 - 03.01.2017 10:30 (CET/CEST)","0","215","466"
"BZN|NL","03.01.2017 10:30 - 03.01.2017 10:45 (CET/CEST)","0","213","467"
"BZN|NL","03.01.2017 10:45 - 03.01.2017 11:00 (CET/CEST)","0","213","471"
"BZN|NL","03.01.2017 11:00 - 03.01.2017 11:15 (CET/CEST)","0","215","472"
"BZN|NL","03.01.2017 11:15 - 03.01.2017 11:30 (CET/CEST)","0","210","469"
"BZN|NL","03.01.2017 11:30 - 03.01.2017 11:45 (CET/CEST)","0","209","474"
"BZN|NL","03.01.2017 11:45 - 03.01.2017 12:00 (CET/CEST)","0","202","490"
"BZN|NL","03.01.2017 12:00 - 03.01.2017 12:15 (CET/CEST)","0","204","497"
"BZN|NL","03.01.2017 12:15 - 03.01.2017 12:30 (CET/CEST)","0","212","496"
"BZN|NL","03.01.2017 12:30 - 03.01.2017 12:45 (CET/CEST)","0","215","510"
"BZN|NL","03.01.2017 12:45 - 03.01.2017 13:00 (CET/CEST)","0","214","524"
"BZN|NL","03.01.2017 13:00 - 03.01.2017 13:15 (CET/CEST)","0","212","523"
"BZN|NL","03.01.2017 13:15 - 03.01.2017 13:30 (CET/CEST)","0","214","521"
"BZN|NL","03.01.2017 13:30 - 03.01.2017 13:45 (CET/CEST)","0","214","520"
"BZN|NL","03.01.2017 13:45 - 03.01.2017 14:00 (CET/CEST)","0","215","508"
"BZN|NL","03.01.2017 14:00 - 03.01.2017 14:15 (CET/CEST)","0","215","514"
"BZN|NL","03.01.2017 14:15 - 03.01.2017 14:30 (CET/CEST)","0","213","542"
"BZN|NL","03.01.2017 14:30 - 03.01.2017 14:45 (CET/CEST)","0","217","567"
"BZN|NL","03.01.2017 14:45 - 03.01.2017 15:00 (CET/CEST)","0","217","575"
"BZN|NL","03.01.2017 15:00 - 03.01.2017 15:15 (CET/CEST)","0","214","582"
"BZN|NL","03.01.2017 15:15 - 03.01.2017 15:30 (CET/CEST)","0","217","580"
"BZN|NL","03.01.2017 15:30 - 03.01.2017 15:45 (CET/CEST)","0","217","593"
"BZN|NL","03.01.2017 15:45 - 03.01.2017 16:00 (CET/CEST)","0","216","596"
